Displacement (mm),Load (kN),Engineering Stress (GPa)
0.677097,2.05436,0.414191986
0.679143,2.05503,0.414327069
0.680165,2.05503,0.414327069
0.681869,2.05637,0.414597235
0.683915,2.05838,0.415002483
0.68562,2.06107,0.41554483
0.688348,2.06375,0.416085161
0.690394,2.06241,0.415814996
0.691758,2.06308,0.415950078
0.693802,2.06577,0.416492426
0.695507,2.06711,0.416762591
0.697553,2.06644,0.416627508
0.699257,2.06644,0.416627508
0.701303,2.07046,0.417438005
0.703349,2.07315,0.417980352
0.705053,2.07248,0.417845269
0.707099,2.07114,0.417575104
0.708463,2.07449,0.418250518
0.710508,2.07651,0.418657782
0.712554,2.07785,0.418927948
0.714258,2.07785,0.418927948
0.716646,2.08187,0.419738444
0.71869,2.08187,0.419738444
0.720396,2.08053,0.419468279
0.721759,2.08053,0.419468279
0.723464,2.08456,0.420280791
0.725509,2.08859,0.421093304
0.727555,2.08791,0.420956205
0.729941,2.08724,0.420821123
0.731987,2.0906,0.421498553
0.733692,2.0906,0.421498553
0.735396,2.09194,0.421768718
0.73676,2.09395,0.422173966
0.739146,2.09463,0.422311065
0.740852,2.0953,0.422446148
0.742897,2.09597,0.422581231
0.745284,2.09731,0.422851396
0.746307,2.09731,0.422851396
0.748353,2.10067,0.423528826
0.750057,2.10067,0.423528826
0.752103,2.10134,0.423663909
0.754148,2.10335,0.424069157
0.755853,2.10536,0.424474406
0.757898,2.10402,0.42420424
0.759944,2.10469,0.424339323
0.761308,2.10939,0.425286918
0.764036,2.11073,0.425557084
0.765399,2.11073,0.425557084
0.767444,2.11073,0.425557084
0.76949,2.11073,0.425557084
0.771536,2.11409,0.426234514
0.773923,2.11409,0.426234514
0.774263,2.11342,0.426099431
0.776991,2.11812,0.427047027
0.779377,2.12013,0.427452275
0.781082,2.11946,0.427317192
0.783128,2.11744,0.426909928
0.784492,2.11946,0.427317192
0.787218,2.12281,0.427992606
0.788242,2.12214,0.427857523
0.790628,2.12281,0.427992606
0.792333,2.12416,0.428264788
0.794037,2.12617,0.428670036
0.796083,2.12751,0.428940202
0.798129,2.12684,0.428805119
0.800175,2.1302,0.429482549
0.802561,2.13288,0.43002288
0.804266,2.13154,0.429752714
0.806311,2.13288,0.43002288
0.808016,2.13422,0.430293045
0.810062,2.13557,0.430565227
0.812448,2.13489,0.430428128
0.814152,2.13557,0.430565227
0.816539,2.13959,0.431375724
0.818585,2.14026,0.431510806
0.820289,2.13959,0.431375724
0.822335,2.13892,0.431240641
0.823699,2.14026,0.431510806
0.825063,2.14161,0.431782988
0.82779,2.14228,0.431918071
0.829836,2.14362,0.432188236
0.831882,2.14765,0.433000749
0.833926,2.14765,0.433000749
0.834608,2.1463,0.432728568
0.837336,2.14832,0.433135832
0.839382,2.151,0.433676163
0.841087,2.151,0.433676163
0.843473,2.151,0.433676163
0.845859,2.15167,0.433811246
0.847905,2.15503,0.434488676
0.84961,2.15436,0.434353593
0.851656,2.15369,0.43421851
0.85336,2.15637,0.434758841
0.855746,2.15973,0.435436271
0.857792,2.15906,0.435301189
0.859838,2.15704,0.434893924
0.861884,2.15704,0.434893924
0.863589,2.15906,0.435301189
0.865293,2.16241,0.435976602
0.867339,2.16375,0.436246768
0.869384,2.1651,0.43651895
0.871429,2.16577,0.436654032
0.873816,2.16375,0.436246768
0.875521,2.16241,0.435976602
0.877226,2.16644,0.436789115
0.87893,2.16912,0.437329446
0.881316,2.16979,0.437464529
0.883022,2.16979,0.437464529
0.885408,2.17046,0.437599612
0.887454,2.17114,0.437736711
0.889499,2.17114,0.437736711
0.891885,2.17248,0.438006876
0.893249,2.17382,0.438277042
0.895295,2.17583,0.43868229
0.897,2.17651,0.438819389
0.899046,2.17852,0.439224637
0.901432,2.17718,0.438954472
0.903818,2.17852,0.439224637
0.905182,2.17919,0.43935972
0.907569,2.17919,0.43935972
0.908933,2.17919,0.43935972
0.911319,2.18255,0.44003715
0.914047,2.18322,0.440172233
0.915069,2.18322,0.440172233
0.917115,2.18187,0.439900051
0.919501,2.18724,0.440982729
0.921888,2.18657,0.440847647
0.923934,2.18523,0.440577481
0.925638,2.18657,0.440847647
0.927342,2.18859,0.441254911
0.929389,2.18993,0.441525077
0.931434,2.19127,0.441795242
0.933821,2.1906,0.441660159
0.935867,2.19395,0.442335573
0.938253,2.19261,0.442065408
0.939957,2.19261,0.442065408
0.942003,2.19261,0.442065408
0.943708,2.19395,0.442335573
0.945413,2.19664,0.44287792
0.9478,2.19597,0.442742838
0.949844,2.19664,0.44287792
0.952572,2.19932,0.443418251
0.954277,2.19865,0.443283169
0.955982,2.19932,0.443418251
0.958027,2.20134,0.443825516
0.960073,2.20067,0.443690433
0.962119,2.20067,0.443690433
0.964164,2.20201,0.443960599
0.96621,2.20335,0.444230764
0.968938,2.20604,0.444773111
0.970982,2.20604,0.444773111
0.972688,2.20536,0.444636013
0.974733,2.20604,0.444773111
0.976779,2.20805,0.44517836
0.979506,2.21073,0.445718691
0.981893,2.20939,0.445448525
0.983939,2.20872,0.445313443
0.985983,2.21073,0.445718691
0.987689,2.21208,0.445990873
0.990075,2.2114,0.445853774
0.99178,2.2114,0.445853774
0.993484,2.21543,0.446666286
0.996212,2.21476,0.446531204
0.997916,2.21342,0.446261038
1.000303,2.2161,0.446801369
1.00269,2.21812,0.447208634
1.004395,2.21677,0.446936452
1.006441,2.21812,0.447208634
1.008145,2.21812,0.447208634
1.010191,2.22147,0.447884047
1.012577,2.2208,0.447748965
1.014622,2.22013,0.447613882
1.01701,2.22147,0.447884047
1.019396,2.22348,0.448289296
1.0211,2.22416,0.448426395
1.023487,2.2255,0.44869656
1.025532,2.22483,0.448561477
1.027578,2.22684,0.448966726
1.029965,2.22617,0.448831643
1.032011,2.22617,0.448831643
1.034737,2.22818,0.449236891
1.036442,2.22953,0.449509073
1.038488,2.22953,0.449509073
1.040192,2.22885,0.449371974
1.04258,2.2302,0.449644156
1.044624,2.23154,0.449914321
1.04667,2.23221,0.450049404
1.049398,2.23221,0.450049404
1.051443,2.23624,0.450861917
1.053489,2.23557,0.450726834
1.055875,2.23422,0.450454652
1.057239,2.23355,0.45031957
1.058944,2.23624,0.450861917
1.061672,2.24026,0.451672413
1.064058,2.23892,0.451402248
1.066444,2.23892,0.451402248
1.068831,2.23892,0.451402248
1.070195,2.23825,0.451267165
1.072923,2.23959,0.451537331
1.075309,2.24026,0.451672413
1.077013,2.24362,0.452349843
1.079741,2.24429,0.452484926
1.081787,2.24161,0.451944595
1.083832,2.24228,0.452079678
1.085537,2.24496,0.452620009
1.087924,2.2463,0.452890174
1.09031,2.24429,0.452484926
1.091674,2.24496,0.452620009
1.094061,2.24697,0.453025257
1.096447,2.24899,0.453432522
1.098833,2.24765,0.453162356
1.100879,2.24832,0.453297439
1.102583,2.24966,0.453567604
1.10497,2.251,0.45383777
1.107016,2.25033,0.453702687
1.109062,2.25033,0.453702687
1.11213,2.25369,0.454380117
1.114176,2.25302,0.454245034
1.116562,2.25234,0.454107935
1.118949,2.25234,0.454107935
1.120995,2.25704,0.455055531
1.123381,2.25637,0.454920448
1.125085,2.25369,0.454380117
1.127131,2.25302,0.454245034
1.129518,2.25704,0.455055531
1.131904,2.25838,0.455325696
1.13395,2.25838,0.455325696
1.136678,2.25838,0.455325696
1.138382,2.25838,0.455325696
1.140428,2.25838,0.455325696
1.142133,2.25771,0.455190614
1.144179,2.25771,0.455190614
1.146565,2.26174,0.456003126
1.148951,2.26375,0.456408375
1.151679,2.26375,0.456408375
1.153383,2.26375,0.456408375
1.15577,2.26442,0.456543458
1.158156,2.26577,0.456815639
1.160542,2.26442,0.456543458
1.162588,2.26241,0.456138209
1.164975,2.26644,0.456950722
1.167703,2.26711,0.457085805
1.170089,2.2651,0.456680556
1.171793,2.2651,0.456680556
1.174521,2.26845,0.45735597
1.175885,2.26845,0.45735597
1.178272,2.26845,0.45735597
1.180998,2.26845,0.45735597
1.183044,2.27114,0.457898318
1.185772,2.26979,0.457626136
1.187818,2.27046,0.457761219
1.189181,2.27046,0.457761219
1.191909,2.27248,0.458168483
1.193613,2.27382,0.458438649
1.196,2.27382,0.458438649
1.198727,2.27449,0.458573731
1.201455,2.27516,0.458708814
1.2035,2.27449,0.458573731
1.204864,2.27382,0.458438649
1.207592,2.27382,0.458438649
1.209467,2.27718,0.459116079
1.212024,2.27785,0.459251161
1.214581,2.27718,0.459116079
1.216285,2.27651,0.458980996
1.218843,2.27718,0.459116079
1.2214,2.27919,0.459521327
1.223104,2.27852,0.459386244
1.225662,2.27919,0.459521327
1.227366,2.2812,0.459926575
1.229923,2.2812,0.459926575
1.23248,2.27919,0.459521327
1.234185,2.28053,0.459791492
1.236742,2.28456,0.460604005
1.239299,2.28389,0.460468922
1.241855,2.28187,0.460061658
1.243561,2.28187,0.460061658
1.246118,2.28389,0.460468922
1.248674,2.28523,0.460739088
1.251232,2.28389,0.460468922
1.252936,2.28523,0.460739088
